Time[s],Packet ID,Address,Read/Write,Data
3.0787064000,112,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x07 0x02
3.0793792000,113,0x05,R,0x46 0x00 0x00
3.0796204000,114,0x04,W,0x82
3.1286784000,115,0x04,W,0xA7 0x01 0x00 0x77 0x01 0x38
3.1399304000,116,0x05,R,0x46 0x77 0x01 0xC0 0x05 0xDC 0x0D 0xAC 0x15 0x7C 0x1D 0x4C 0x25 0x1C 0x2C 0xEC 0x34 0xBC 0x3C 0x8C 0x44 0x5C 0x4C 0x2C 0x53 0xFC 0x5B 0xCC 0x63 0x9C 0x6B 0x6C 0x73 0x3C 0xC9 0xAC 0x83 0xF7 0x00 0xFD 0x75 0x2B 0xA7 0x4D 0xDF 0xF2 0x8E 0xB9 0x5E 0x23 0x93 0x23 0x99 0x2D 0x90 0x7E 0xE0 0xBF 0xAE 0x5E 0xAF 0xE9 0xCC 0x77 0xA1 0xD5 0x8D 0x74 0x72 0x64 0x73 0x25 0x32 0x0F 0xDC 0x1D 0xF5 0xC6 0x10 0x8D 0x39 0x95 0x8A 0x3A 0xB1 0x20 0x8E 0x4C 0x8E 0x64 0xA6 0x41 0xFB 0x83 0xFE 0xB8 0xA2 0x19 0x27 0x3A 0xC7 0x07 0x56 0x25 0x11 0xC9 0x91 0xCC 0x94 0xC8 0x3F 0x70 0x7F 0xD7 0x17 0xEC 0x04 0xE8 0xB8 0x48 0xEA 0xC4 0xA2 0x39 0x32 0x39 0x92 0x99 0x07 0xEE 0x0F 0xFA 0xE4 0x06 0x11 0x9D 0x4A 0x04 0x1D 0x58 0x94 0x47 0x26 0x47 0x32 0x53 0x20 0xFD 0xC1 0xFF 0x5D 0x06 0xBD 0x13 0xA6 0x97 0xE3 0xAB 0x12 0x68 0xE4 0xC8 0xE6 0x4A 0x64 0x1F 0xB8 0x3B 0xEB 0xA5 0xE5 0xEE 0x76 0x1A 0xA8 0x75 0x62 0x4D 0x1C 0x99 0x1C 0xC9 0x4C 0x83 0xF7 0x06 0xFD 0x74 0x7E 0xC2 0x4E 0xB2 0x16 0x0E 0xAC 0x49 0xA3 0x93 0x23 0x99 0x29 0x90 0x7E 0xE0 0xCF 0xAE 0x8F 0xD7 0x19 0xD1 0x71 0x31 0xD5 0x89 0x34 0x72 0x64 0x73 0x25 0x32 0x0F 0xDC 0x17 0xF5 0xD2 0x2F 0x5F 0x3A 0x41 0x62 0x3A 0xB1 0x26 0x8E 0x4C 0x8E 0x64 0xA6 0x41 0xFB 0x82 0xBE 0xBA 0xB7 0x35 0xA7 0x39 0xFF 0x47 0x56 0x24 0xD1 0xC9 0x91 0xCC 0x94 0xC8 0x3F 0x70 0x4F 0xD7 0x58 0x5A 0xCC 0xE4 0xAE 0xB0 0xEA 0xC4 0x9A 0x39 0x32 0x39 0x92 0x99 0x07 0xEE 0x08 0xFA 0xEC 0x69 0x71 0x9C 0xE9 0xCF 0x1D 0x58 0x93 0x47 0x26 0x47 0x32 0x63 0x20 0xFD 0xC0 0xFF 0x5D 0x9F 0xAB 0x73 0xA5 0xDF 0xE3 0xAB 0x12 0x68 0xE4 0xC8 0xE6 0x4C 0x64 0x1F 0xB8 0x1B 0xEB 0xB6 0x7D 0x4A 0x71 0xFF 0xC0 0x77 0x7F 0x41 0x1C 0x99 0x1C 0x28 0x82 0x96 0x14 0x41 0x4B 0x0A 0x20 0xA5 0x85 0x10 0x52 0xC2 0x88 0x29 0x61 0x44 0x14 0xB0 0xA2 0x0A 0x58 0x51 0x05 0x2C 0x28 0x82 0x96 0x14 0x41 0x4B 0x0A 0x20 0xA5 0x85 0x10 0x52 0xC2 0x88 0x29 0x61 0x44 0x14 0xB0 0xA2 0x0A 0x58 0x51 0x05 0x2C
3.1581036000,117,0x04,W,0x82
3.2037060000,118,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x0A 0x02
3.2105750000,119,0x05,R,0x46 0x00 0x00
3.2108162000,120,0x04,W,0x82
3.2537308000,121,0x04,W,0xA7 0x01 0x00 0x32 0x01 0x38
